Computer	Monitor	Drucker	Maus	Budget
0	0	1	0	101.98
1	0	0	1	641.66
0	3	0	3	450.45
0	0	1	1	123.01
1	0	0	2	653.3
0	4	1	0	594.92
0	0	0	0	6.93
1	1	0	3	795.11
1	0	0	2	666.77
0	1	1	0	214.67
0	1	0	1	156.3
0	2	1	0	344.58
0	3	1	0	485.84
0	4	1	0	594.61
0	4	0	3	583.49
0	2	0	1	295.01
1	0	0	1	643.52
1	0	1	0	690.71
0	0	1	0	98.11
0	3	0	3	447.56
1	0	1	0	704.63
0	1	0	1	155.35
0	1	0	0	140.38
1	0	0	3	680.83
0	4	0	2	550.41
1	0	0	1	634.24
0	2	1	0	355.49
0	0	1	1	117.28
0	2	1	0	360.72
0	0	1	1	112.03
0	2	0	3	323.72
0	1	0	2	180.93
0	1	1	0	220.51
0	1	1	1	239.58
0	3	0	1	408.33
0	1	1	0	233.68
0	1	1	0	227.1
0	4	0	2	549.99
1	0	0	2	654.1
0	4	0	0	503.35
0	1	1	1	240.85
0	4	0	1	523.43
1	3	0	0	987.38
2	0	0	2	1254.78
0	2	0	0	250
0	3	0	2	437.5
0	3	0	0	376.24
1	2	0	0	862.03
0	4	0	3	586.17
0	0	0	3	80.26
0	3	0	0	381.1
0	4	0	2	554.69
0	0	0	0	14.94
0	1	0	3	208.79
0	3	0	0	376.34
0	4	0	1	542.44
0	4	0	3	581.73
0	2	0	2	302.34
0	1	1	0	213.81
0	3	0	2	425.78
0	1	0	2	175.72
0	4	0	1	531.83
0	1	1	0	226.33
0	3	0	3	457.77
0	2	0	1	278.25
0	4	1	0	594.18
0	1	0	1	161.19
0	3	0	3	446.31
0	0	1	0	106.83
0	0	0	2	61.54
0	2	0	2	302.38
0	2	0	3	327.2
0	3	0	1	416.27
0	3	0	0	375.78
0	1	0	0	133.06
0	2	0	0	272.79
0	4	0	1	530.84
1	3	0	0	987.87
0	1	0	3	201.78
0	2	1	0	345.35
0	2	0	0	272.96
0	1	0	3	196.91
0	3	0	0	385.1
2	1	0	0	1323.28
0	3	0	1	407.93
0	0	0	2	59.3
0	3	0	1	421.04
1	1	0	3	799.92
1	0	0	0	609.44
1	0	0	0	615.2
0	2	0	0	257.5
0	3	0	1	400.52
2	3	1	1	1695.69
0	0	1	0	95.68
1	1	0	3	809.79
0	3	0	1	398.31
0	1	0	1	152.05
0	2	0	1	288.21
1	0	1	1	721.93
0	0	0	0	22.84
0	0	0	1	45.83
0	4	0	1	544.05
0	0	0	1	42.04
0	0	0	3	86.88
1	2	1	0	949.05
0	3	0	3	445.63
0	3	0	2	433.85
1	1	0	3	804.18
0	2	0	2	316.46
0	2	0	0	271.61
0	0	0	0	6.73
1	1	0	2	780.02
0	2	0	3	337.54
1	3	0	0	986.45
0	2	0	0	251.01
1	0	1	0	696.95
0	1	0	0	145.48
1	0	1	0	709.28
1	1	0	2	786.91
0	0	0	1	39.47
1	2	1	1	967.12
0	0	0	2	62.57
0	4	1	0	592.37
0	1	0	2	185.6
0	2	0	3	321.72
0	2	0	2	312.28
0	3	0	2	422.55
0	0	0	2	65.2
1	2	0	0	864.1
1	1	0	0	728.77
0	3	0	1	403.79
0	0	0	2	49.56
1	1	0	0	732.12
0	2	0	0	263.75
0	2	0	3	331.25
0	3	0	3	446.65
0	0	1	0	97.42
1	0	1	0	696.7
1	1	0	0	736.2
0	0	0	3	74.52
0	3	0	1	403.7
0	0	1	1	113.41
0	4	0	1	537.67
0	1	0	2	177.18
0	3	0	1	403.06
0	3	0	1	412.86
2	1	0	1	1355.6
0	2	0	0	259.1
0	3	0	2	429.11
0	2	0	2	312.64
0	3	0	3	444.82
0	4	0	1	540.27
0	2	0	0	252.81
1	0	0	0	618.1
1	3	1	0	1075.29
0	0	0	2	52.97
0	2	0	2	319.44
0	3	1	1	494.99
0	2	0	1	284.55
1	0	1	0	692.25
0	1	0	1	157.44
0	4	0	1	536.05
0	0	0	0	3.18
0	0	1	0	107.83
0	2	1	1	367.37
0	4	0	2	549.93
1	0	0	1	623.89
0	3	0	0	395.32
0	2	0	1	274.05
0	1	0	3	200.62
0	0	1	0	96.03
0	3	0	1	404.2
0	1	0	3	197.26
0	0	0	1	25.7
1	0	0	1	644.06
0	2	1	0	347.85
0	3	0	3	456.71
0	1	0	0	133.15
0	0	1	0	89.82
0	3	0	2	436.28
1	1	0	0	733.97
0	2	1	0	351.02
0	0	0	1	29.87
0	0	0	1	31.71
1	1	0	2	790.05
0	1	0	1	163.52
0	2	0	0	254.71
0	2	1	1	364.85
0	4	0	3	569.92
0	0	0	3	79.17
0	2	0	0	263.92
0	4	1	0	596.94
1	1	1	0	819.74
1	1	0	0	725.04
0	2	0	2	306.63
1	0	0	2	646.67
0	0	0	3	86.37
1	0	0	2	651.14
0	0	0	3	75.73
0	4	1	0	595.98
0	1	0	3	198.7
1	0	0	2	647.9
1	0	0	0	609.2
1	0	0	0	619.44
0	1	0	1	170.86
0	2	0	0	251.14
0	2	0	1	276.51
0	1	1	1	236.86
2	0	0	2	1247.58
1	0	0	0	617.41
0	2	0	2	297.26
0	4	0	1	527.41
0	1	0	2	175.34
0	4	0	2	564.34
1	4	0	2	1156.2
0	0	0	3	87.74
0	2	0	2	299.43
0	0	0	0	0.3
0	0	0	2	65.56
2	1	1	0	1414.04
0	1	0	0	134.2
0	1	0	0	130.04
0	0	0	0	8.25
0	2	0	2	304.9
0	0	0	2	64.49
0	1	0	1	162.75
0	2	0	0	261.48
0	0	1	0	96.68
0	0	0	3	86.26
0	0	0	0	4.4
0	2	0	2	308.98
0	1	1	1	247
0	2	0	2	298.9
0	1	1	1	240.87
0	1	0	1	169.62
0	1	1	1	243.74
0	2	1	0	354.23
0	2	1	0	361.12
1	0	1	0	702.67
0	2	1	1	368.38
2	0	0	0	1214.48
0	0	0	2	49.84
0	4	0	1	537.32
1	1	0	1	764.62
1	0	0	1	637.02
1	1	0	1	747.39
0	2	0	2	300.09
0	2	0	2	317.72
0	0	1	0	90.59
0	3	0	0	380.3
0	0	1	0	100.48
0	0	0	2	49.72
0	0	1	0	101.46
1	3	0	2	1021.88
1	3	0	3	1049.56
0	2	0	1	294.33
0	2	0	3	326.9
0	0	0	2	56.46
0	1	0	0	128.31
0	3	0	0	395.1
0	3	0	2	434.13
0	0	0	1	25.48
1	1	0	2	786.06
1	2	0	0	863.93
0	3	0	2	429.45
2	0	0	0	1211.63
1	0	1	0	697.61
1	1	0	2	775.76
0	3	0	2	423
0	4	0	1	526.71
2	1	0	0	1339.6
1	4	0	2	1159.73
0	1	0	1	152.85
0	0	0	0	8.13
1	0	1	0	708.47
0	1	0	3	199.41
1	2	0	1	879.97
1	2	0	0	863.77
0	1	1	1	245.65
0	0	0	1	31.94
0	2	0	1	294.71
0	0	0	0	4.52
0	4	0	1	529.77
0	0	1	0	105.81
1	0	0	0	604.26
0	0	1	0	88.94
0	4	0	3	580.67
0	3	0	2	429.5
0	1	1	0	227.35
0	2	0	3	336.68
0	3	1	0	475.49
0	1	0	2	193.87
0	3	0	0	392.78
0	0	1	0	101.46
0	0	1	1	112.14
